ID,Typ,Sparte,Institution,Adresse,PLZ,Ort,lat,lon,Webseite,Kommentare (Intern),
52,ORG+VENUE,BIBLIOTHEK,Bezirkszentralbibliothek Philipp Schaeffer,Brunnenstraße 181,10119,Berlin,52.5316435,13.3992672,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bezirkszentralbibliothek-philipp-schaeffer/,,
53,ORG+VENUE,"LITERATUR, BILDENDE KUNST, MUSIK, SONSTIGES",bi’bak e.V.,Prinzenallee 59,13359,Berlin,52.5577572,13.3851599,www.bi-bak.de,,
54,VENUE,BIBLIOTHEK,Bibliothek am Luisenbad,Travemünder Straße 2 / ecke Badstraße,13357,Berlin,52.5552512,13.3810122,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bibliothek-am-luisenbad/,,
55,VENUE,BIBLIOTHEK,Bibliothek am Schäfersee,Stargardtstraße 11–13,13407,Berlin,52.566,13.36005,https://www.berlin.de/stadtbibliothek-reinickendorf/bibliotheken/bibliothek-am-schaefersee/artikel.336756.php,,
56,VENUE,BIBLIOTHEK,Bibliothek am Wasserturm,Prenzlauer Allee 227/228,10405,Berlin,52.5332325,13.420337,https://www.berlin.de/stadtbibliothek-pankow/bibliotheken/bibliothek-am-wasserturm/,,
57,VENUE,BIBLIOTHEK,Bibliothek Eva-Maria-Buch-Haus,Götzstraße 8/10/12,12099,Berlin,52.4645293,13.3873495,https://www.berlin.de/stadtbibliothek-tempelhof-schoeneberg/bibliotheken/bezirkszentralbibliothek/,,
58,VENUE,BIBLIOTHEK,Bibliothek im Märkischen Viertel,Wilhelmsruher Damm 142 c,13439,Berlin,52.59764,13.35225,https://www.berlin.de/stadtbibliothek-reinickendorf/bibliotheken/bibliothek-im-maerkischen-viertel/artikel.336916.php,,
59,VENUE,BIBLIOTHEK,Bibliothek Tiergarten-Süd,Lützowstraße 27,10785,Berlin,52.5037572,13.3635324,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bibliothek-tiergarten-sued/,,
60,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Bibliothekswohnung,Ziegelstr. 2,10117,Berlin,53.8704954,10.667444,www.acgebbers.com/Anna-Catharina_Gebbers___Bibliothekswohnung/PRESENT.html,,
61,VENUE,WERKSTATT,Bildhauerwerkstatt im Kulturwerk des bbk berlin GmbH,Osloer Straße 102,13359,Berlin,52.55514,13.37972,https://www.bbk-kulturwerk.de/con/kulturwerk/front_content.php?idcat=46,,
62,ORG+VENUE,BÜHNEN UND THEATER,BKA - Berliner Kabarett Anstalt,Mehringdamm 34,10961,Berlin,52.4936128,13.3877004,https://www.bka-theater.de/,,
63,VENUE,BIBLIOTHEK,Bodo-Uhse-Bibliothek,Erich-Kurz-Straße 9,10319,Berlin,52.4975972,13.5204184,https://www.berlin.de/ba-lichtenberg/auf-einen-blick/buergerservice/bildung/artikel.298025.php,,
64,ORG+VENUE,MUSEUM,Brücke Museum,Bussardsteig 9,14195,Berlin,52.46682,13.27455,http://www.bruecke-museum.de/,,
65,ORG+VENUE,BIBLIOTHEK,Bruno-Lösche-Bibliothek,Perleberger Straße 33,10559,Berlin,52.5313703,13.3474162,https://www.berlin.de/stadtbibliothek-mitte/bibliotheken/bruno-loesche-bibliothek/,,
66,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Büro komPleX,Alte Jakobstraße 12,10969,Berlin,52.503931,13.3993781,www.buerokomplex.net,,
67,ORG+VENUE,"KUNST-/KULTURHÄUSER, KULTURVEREINE",C/O Berlin / Expose Berlin,Hardenbergstraße 22-24,10623,Berlin,52.5065616,13.3304503,www.co-berlin.org,,
68,ORG+VENUE,BILDENDE KUNST,Camping Akademie e.V.,Bizetstrasse 99,13088,Berlin,52.5492674,13.459786,www.campingakademie.org,,
69,ORG+VENUE,PROJEKTRAUM/PROJEKTINITIATIVE,Center Berlin,Kurfürstenstraße 174,10785,Berlin,52.4987163,13.3688164,coeval.gen.in,,
70,ORG+VENUE,BILDENDE KUNST,Centrum,Reuterstr. 7,12053,Berlin,52.4821472,13.4295124,http://www.centrumberlin.com/,,
